kabupaten,laki_laki,perempuan,jumlah,tahun
3301 Kabupaten Cilacap,9.18,10.34,9.62,2022
3302 Kabupaten Banyumas,6.42,5.44,6.05,2022
3303 Kabupaten Purbalingga,6.25,3.91,5.23,2022
3304 Kabupaten Banjarnegara,7.6,4.57,6.38,2022
3305 Kabupaten Kebumen,6.96,4.55,5.92,2022
3306 Kabupaten Purworejo,4.62,4.24,4.45,2022
3307 Kabupaten Wonosobo,3.41,7.39,5.01,2022
3308 Kabupaten Magelang,5.42,4.44,4.97,2022
3309 Kabupaten Boyolali,4.02,6.01,4.92,2022
3310 Kabupaten Klaten,3.63,5.22,4.31,2022
3311 Kabupaten Sukoharjo,2.16,2.87,2.47,2022
3312 Kabupaten Wonogiri,2.23,1.61,1.95,2022
3313 Kabupaten Karanganyar,5.74,5.63,5.7,2022
3314 Kabupaten Sragen,2.27,7.89,4.69,2022
3315 Kabupaten Grobogan,3.31,5.98,4.4,2022
3316 Kabupaten Blora,4.88,2.18,3.7,2022
3317 Kabupaten Rembang,1.63,1.93,1.76,2022
3318 Kabupaten Pati,4.71,4.1,4.45,2022
3319 Kabupaten Kudus,4.07,2.07,3.21,2022
3320 Kabupaten Jepara,3.41,5.21,4.1,2022
3321 Kabupaten Demak,5.47,7.08,6.11,2022
3322 Kabupaten Semarang,6.09,3.27,4.81,2022
3323 Kabupaten Temanggung,3.57,1.18,2.54,2022
3324 Kabupaten Kendal,7.34,7.35,7.34,2022
3325 Kabupaten Batang,7.75,5.07,6.64,2022
3326 Kabupaten Pekalongan,3.95,2.21,3.23,2022
3327 Kabupaten Pemalang,8.49,3.91,6.63,2022
3328 Kabupaten Tegal,8.57,11.24,9.64,2022
3329 Kabupaten Brebes,7.64,12.35,9.48,2022
3371 Kota Magelang,8.45,4.51,6.71,2022
3372 Kota Surakarta,7.23,4.08,5.83,2022
3373 Kota Salatiga,6.64,4.34,5.58,2022
3374 Kota Semarang,9.91,4.46,7.6,2022
3375 Kota Pekalongan,6.04,3.47,4.98,2022
3376 Kota Tegal,6.05,7.62,6.68,2022
3300 Provinsi Jawa Tengah,5.75,5.31,5.57,2022
