kabupaten,laki_laki,perempuan,jumlah,tahun
3301 Kabupaten Cilacap,9.3,10.5,9.9,2024
3302 Kabupaten Banyumas,6.55,5.6,6.08,2024
3303 Kabupaten Purbalingga,6.4,4.0,5.3,2024
3304 Kabupaten Banjarnegara,7.8,4.7,6.5,2024
3305 Kabupaten Kebumen,7.0,4.7,6.0,2024
3306 Kabupaten Purworejo,4.7,4.3,4.5,2024
3307 Kabupaten Wonosobo,3.6,7.4,5.2,2024
3308 Kabupaten Magelang,5.5,4.5,5.0,2024
3309 Kabupaten Boyolali,4.1,6.1,5.0,2024
3310 Kabupaten Klaten,3.7,5.3,4.4,2024
3311 Kabupaten Sukoharjo,2.2,2.9,2.5,2024
3312 Kabupaten Wonogiri,2.3,1.7,2.0,2024
3313 Kabupaten Karanganyar,5.8,5.7,5.75,2024
3314 Kabupaten Sragen,2.3,8.0,4.8,2024
3315 Kabupaten Grobogan,3.4,6.0,4.5,2024
3316 Kabupaten Blora,5.0,2.3,3.8,2024
3317 Kabupaten Rembang,1.7,2.0,1.8,2024
3318 Kabupaten Pati,4.8,4.2,4.5,2024
3319 Kabupaten Kudus,4.1,2.1,3.3,2024
3320 Kabupaten Jepara,3.5,5.3,4.2,2024
3321 Kabupaten Demak,5.6,7.2,6.2,2024
3322 Kabupaten Semarang,6.2,3.3,4.9,2024
3323 Kabupaten Temanggung,3.6,1.2,2.6,2024
3324 Kabupaten Kendal,7.4,7.4,7.4,2024
3325 Kabupaten Batang,7.8,5.2,6.7,2024
3326 Kabupaten Pekalongan,4.0,2.3,3.3,2024
3327 Kabupaten Pemalang,8.6,4.0,6.7,2024
3328 Kabupaten Tegal,8.7,11.3,9.7,2024
3329 Kabupaten Brebes,7.7,12.4,9.6,2024
3371 Kota Magelang,8.5,4.6,6.8,2024
3372 Kota Surakarta,7.3,4.1,5.9,2024
3373 Kota Salatiga,6.7,4.4,5.6,2024
3374 Kota Semarang,10.0,4.5,7.7,2024
3375 Kota Pekalongan,6.1,3.5,5.0,2024
3376 Kota Tegal,6.1,7.7,6.7,2024
3300 Provinsi Jawa Tengah,5.85,5.4,5.6,2024
