kabupaten,presentase,tahun
3301 Kabupaten Cilacap,9.62,2022
3302 Kabupaten Banyumas,6.05,2022
3303 Kabupaten Purbalingga,5.23,2022
3304 Kabupaten Banjarnegara,6.38,2022
3305 Kabupaten Kebumen,5.92,2022
3306 Kabupaten Purworejo,4.45,2022
3307 Kabupaten Wonosobo,5.01,2022
3308 Kabupaten Magelang,4.97,2022
3309 Kabupaten Boyolali,4.92,2022
3310 Kabupaten Klaten,4.31,2022
3311 Kabupaten Sukoharjo,2.47,2022
3312 Kabupaten Wonogiri,1.95,2022
3313 Kabupaten Karanganyar,5.7,2022
3314 Kabupaten Sragen,4.69,2022
3315 Kabupaten Grobogan,4.4,2022
3316 Kabupaten Blora,3.7,2022
3317 Kabupaten Rembang,1.76,2022
3318 Kabupaten Pati,4.45,2022
3319 Kabupaten Kudus,3.21,2022
3320 Kabupaten Jepara,4.1,2022
3321 Kabupaten Demak,6.11,2022
3322 Kabupaten Semarang,4.81,2022
3323 Kabupaten Temanggung,2.54,2022
3324 Kabupaten Kendal,7.34,2022
3325 Kabupaten Batang,6.64,2022
3326 Kabupaten Pekalongan,3.23,2022
3327 Kabupaten Pemalang,6.63,2022
3328 Kabupaten Tegal,9.64,2022
3329 Kabupaten Brebes,9.48,2022
3371 Kota Magelang,6.71,2022
3372 Kota Surakarta,5.83,2022
3373 Kota Salatiga,5.58,2022
3374 Kota Semarang,7.6,2022
3375 Kota Pekalongan,4.98,2022
3376 Kota Tegal,6.68,2022
